Type,Redox,Site,Depth.cm,Distance  m,pH,Eh mV,EC mScm,AVS umolg,TotalS.oes.umolg,Porewater FeII mgL ,Porewater total Fe II mgL,Porewater FeIII mgL,Pore-water sulfate mgL,As.ms,As.oes  ,Ba.ms,Cd.ms,Co.ms,Co.oes   ,Cr.ms,Cr.oes   ,Cu.ms,Cu.oes   ,Fe.ms,Fe.oes   ,Mn.ms,Mn.oes   ,Mo.ms,Ni.oes   ,P.oes   ,Pb.ms,Pb.oes  ,Rb.ms,S.oes   ,Sr.ms,Th.ms,Ti.ms,U.ms,V.ms,Zn.ms,Zn.oes   ,REE.ms,As,Ba,Cd,Co   ,Cr,Cu   ,Fe,Mn   ,Mo,Ni   ,P   ,Pb  ,Rb,S   ,Sr,Th,Ti,U,V,Zn,REE
Sediment,Reduced,S 1,2.5,2,5.65,-92,NA,NA,399.76,1.22,1.91,0.68,7904.08,5.24,7.764225119,26.26,0.08,6.51,3.869614117,28.44,18.26087542,10,6.499796316,80659.49,67293.76108,68.56,47.25916075,15.58,9.349455346,130.8962365,15.98,15.70197393,12.4,12820.45694,205.78,16.66,307.81,12.84,66.58,11.43,6.268785711,674.08,-1.752068661,-0.533548452,-6.327323966,-1.928255865,-0.453798716,-1.499010228,7.315227487,0.426113953,-1.055607281,-1.566277232,1.0728096,-1.030257381,-1.283898849,5.657202051,1.525212316,-0.988584685,1.927887388,-1.249030023,0.396808911,-1.365353844,2.711753477
Sediment,Reduced,S 1,7.5,2,6.01,-7,12.2,87.14,532.48,1.6,2,0.4,6689.8,7.93,8.75836291,38.19,0.12,9.45,7.079880798,40.77,29.49922388,13.24,11.09828646,85941.41,80589.57948,68.5,51.54603028,17.07,15.50427547,218.8239524,23.3,24.71961688,18.4,17076.69496,279.21,27.42,350.45,13.05,98.25,10.5,5.260781974,681.78,-1.89481489,-0.422250194,-6.185087431,-1.818809153,-0.356877378,-1.481581344,7.232300738,0.16200985,-1.227501358,-1.323708072,1.323443641,-0.916370534,-1.15247323,5.68064605,1.567140292,-0.753551221,1.794394148,-1.496035761,0.522691356,-1.713448638,2.45988313
Sediment,Reduced,S 1,12.5,2,5.74,100,14.92,94.85,469.38,42.91,44.13,1.22,6213.73,7.64,7.812470487,40.47,0.11,13.9,10.40452392,45,30.34492221,14.94,11.15655984,67387.61,55736.6468,67.54,48.52678259,18.46,16.56969232,231.2520875,28.64,28.2861994,20.61,15053.17531,265.11,27.11,394.34,14.44,108.07,10.16,4.839073407,743.95,-2.046174161,-0.401334439,-6.309170311,-1.470006558,-0.295232908,-1.397853218,6.826497743,0.110824617,-1.186289169,-1.294320135,1.341613005,-0.747091056,-1.076119003,5.517448834,1.478249436,-0.801992735,1.875318083,-1.431893265,0.580883767,-1.783436956,2.51007843
Sediment,Reduced,S 1,17.5,2,5.5,-42,NA,55.46,254.29,152.26,200.77,48.51,5243.14,4.9,4.736753232,22.93,0.07,8.14,5.595851259,25.12,19.90141044,7.7,6.662421078,38822.88,34185.64669,48.48,39.67516853,10.11,9.960074879,117.1568783,17.11,18.0248432,12.65,8155.025826,110.13,16.86,406.4,7.97,63.55,5.32,2.410248491,434.94,-2.015047835,-0.437953667,-6.2296598,-1.473609583,-0.346735422,-1.529179435,6.869161384,0.310751578,-1.25687473,-1.271815174,1.193114113,-0.730736676,-1.032742548,5.435989918,1.131261723,-0.745455811,2.436938133,-1.494715271,0.581427234,-1.89892646,2.504808327
Sediment,Reduced,S 1,22.5,2,5.44,120,18.42,31.47,160.34,140.36,196.76,56.39,6105.88,2.08,0.648699666,11.46,0.03,4.68,3.417048162,13.19,11.46659357,3.41,3.526505925,21200.24,19309.56167,29.32,27.65060219,5.23,5.776249705,78.30184296,7.29,7.157283755,6.8,5141.997915,48.31,8.52,251.79,4.23,32.58,2.47,1.008677628,214.03,-3.292683517,-0.421035372,-6.366455981,-1.316599974,-0.280439117,-1.633185792,7.008457592,0.518371793,-1.205486806,-1.106143452,1.500673056,-0.873394538,-0.942975471,5.685298899,1.017740495,-0.717481743,2.668697323,-1.417696091,0.62380052,-1.955679933,2.506218108
Sediment,Reduced,S 1,27.5,2,5.15,NA,NA,52.21,299.87,NA,NA,NA,NA,4.96,1.982432355,25.49,0.06,6.61,4.087466136,25.73,19.98588054,8.88,6.611697196,39191.47,33817.37123,62.4,46.70916229,12.42,10.87987567,155.9289922,15.4,15.56942712,13.29,9616.689439,122.36,17.04,328.81,8.67,62.64,7.96,3.910980916,333.79,-2.889962181,-0.336000516,-6.387697451,-1.68570308,-0.326629108,-1.390485177,6.854443157,0.559278541,-1.054978658,-1.18737192,1.475113991,-0.839919225,-0.987274862,5.596968617,1.232680785,-0.738723213,2.221193342,-1.414417943,0.563117317,-1.499857734,2.236225318
Sediment,Reduced,S 2,2.5,58,7.58,-60,30.5,26.95,104.53,1.28,2.03,0.75,8689.8,2.38,0.47378009,5.18,0.03,1.8,0.646955451,7.7,6.95938118,1.56,1.614495938,10325.94,7872.561811,32.3,22.26776269,4.94,2.459689693,24.51154148,2.93,2.919218433,3.31,3352.14701,25.2,4.68,149.18,0.83,29.26,1.53,1.421847942,61.54,-2.961637163,-0.569820096,-5.72118305,-1.626838488,-0.173404824,-1.769939331,6.756513652,1.260442078,-0.617259821,-1.314589952,0.984518935,-1.13962273,-1.017676963,5.902731165,1.012218842,-0.671327043,2.790528478,-2.400954731,1.161596243,-1.789357417,1.905062217
Sediment,Reduced,S 2,7.5,58,7.65,-71,NA,40.16,216.53,1.39,2.2,0.81,7822.45,5.03,2.475225058,12.16,0.02,4.23,1.831896925,15,8.440682146,4.09,2.725208171,19181.71,12224.14987,139.38,68.70128779,4.73,3.954178701,77.2678693,5.89,5.279036385,5.46,6944.201211,95.06,8.38,187.64,2.51,43.95,9.02,5.092235627,220.52,-2.103460248,-0.511639696,-6.921814578,-1.567589579,-0.301741371,-1.601246602,6.401377199,1.927412444,-1.45586637,-1.635018654,1.337486634,-1.236535575,-1.312342783,5.83587066,1.544716699,-0.883943658,2.224733661,-2.089508819,0.773261052,-0.810347238,2.386196821
Sediment,Reduced,S 2,12.5,58,7.62,-80,52.6,101.83,837.83,1.51,2.4,0.89,7914.29,4.02,2.664734409,14.26,0.13,9.41,6.719875566,19,12.98157088,7.83,5.513267377,37996.34,29468.33242,158.89,128.6206129,10.85,7.605038634,244.9576385,9.01,9.705135794,7.85,26869.11531,243.47,10.18,274.34,5.71,48.61,22.03,15.19673678,666.58,-2.697173863,-1.019819841,-5.717499085,-1.435505303,-0.732839277,-1.619315746,6.613793232,1.390933883,-1.293113176,-1.64846725,1.823807035,-1.478943185,-1.616764724,6.52145452,1.817715475,-1.356853245,1.937089957,-1.935059233,0.206551015,-0.584873095,2.824881906
Sediment,Reduced,S 2,17.5,58,7.75,-101,NA,277.8,1076.47,1.59,2.89,1.3,6363.27,4.03,4.433221541,13.28,0.26,23.49,15.90100062,15.59,10.15930537,8.78,5.412561815,61169.9,47385.79367,706.95,543.3097583,11.21,13.02416309,639.3091882,8.3,8.916764509,6.95,34522.43848,214.16,9.02,208.66,9.06,41.31,23.16,16.73084171,1213.22,-2.470621129,-1.373488515,-5.306821307,-0.80317286,-1.213117976,-1.787271251,6.806330092,2.601212283,-1.542941422,-1.392941327,2.500640541,-1.843492144,-2.021005999,6.489617124,1.40697574,-1.760303325,1.380958474,-1.755878539,-0.238643057,-0.817321006,3.141285602
Sediment,Reduced,S 2,22.5,58,7.49,-76,34.5,214.05,1985.36,1.47,2.6,1.13,7853.06,6.31,1.898448946,19.44,0.08,8.89,5.180175674,22.53,13.6771452,9.99,5.128365977,73537.26,53937.55698,249.47,179.5455879,13.3,7.913116983,236.6805149,10.88,10.9701351,10.13,63670.6333,500.37,12.16,410.93,11.84,48.03,12.75,7.73401067,896.49,-3.235394955,-0.909099365,-6.402160808,-1.691505114,-0.761584409,-1.574847571,7.01915014,1.642906504,-1.288668129,-1.807910404,1.59027903,-1.489505922,-1.560930846,7.185046556,2.338915661,-1.378280287,2.14199072,-1.404948534,-0.004606348,-1.330900892,2.922054975
Sediment,Reduced,S 2,27.5,58,6.87,-90,36.3,122.85,2192.56,1.27,1.98,0.71,8526.53,5.97,4.671025267,19.95,0.07,8.74,5.636029076,23.35,16.76045552,8.67,5.751770541,49248.06,40689.75349,45.02,35.47669876,10.21,8.819900015,149.3029116,11.62,12.27085916,10.5,70315.25769,461.23,12.36,443.12,7.15,51.57,8.03,5.553461272,461.15,-2.178379876,-0.726529324,-6.379018504,-1.551848278,-0.569161483,-1.559889677,6.893973115,0.087348368,-1.396390835,-1.542747934,1.286218739,-1.267030716,-1.36838321,7.440985624,2.414138367,-1.205293015,2.374082146,-1.752646111,0.223181641,-1.636573939,2.413964902
Sediment,Oxidised,S 3,2.5,82,6.53,29,75.9,136.25,947.59,NA,NA,NA,NA,4.8,5.926649955,11.89,0.13,13.26,9.002461295,13.73,9.786206544,6.24,4.793751051,37506.67,29601.31123,113.3,88.90265522,8.47,10.08761327,258.8263367,6.95,9.290751529,6.26,30389.2026,242.63,6.78,199.36,9.19,30.45,18.27,13.13147525,920.55,-1.860525911,-1.164287322,-5.680205861,-1.055233048,-1.020401813,-1.80900485,6.655588905,1.090054135,-1.503454524,-1.32867677,1.916172289,-1.701243373,-1.805804848,6.681857614,1.851552617,-1.726007931,1.655127203,-1.421869096,-0.223899039,-0.734724662,3.184986285
Sediment,Oxidised,S 3,7.5,82,6.07,142,NA,7.59,201.58,1.09,1.74,0.65,10771.43,4.49,3.124480786,28.05,0.11,12.93,7.045681318,31.54,19.01922437,10.75,7.531424964,28308.03,18695.38206,61.07,36.73587549,12.32,9.70326717,159.021467,23.34,19.97940453,14.09,6464.654505,106.15,19.03,525.46,9.13,84.17,9.64,4.994715587,343.71,-2.558230886,-0.363510375,-5.90477392,-1.137948814,-0.246242425,-1.322593252,6.138532817,0.414521741,-1.186275049,-1.425036356,1.371540199,-0.54733038,-1.052033681,5.076605842,0.967354182,-0.751482325,2.566775063,-1.485933312,0.735339557,-1.431577898,2.142299272
Sediment,Oxidised,S 3,12.5,82,5.84,193,NA,0.44,236.19,NA,NA,NA,NA,6.8,6.187050231,14.33,0.03,2.67,1.651824028,32.11,26.16842212,5.99,3.763915397,41450.24,35562.51406,63.29,53.67676118,12.29,7.725187936,27.14126917,19.48,20.74702127,21.13,7574.56823,19.07,18.91,539.13,1.39,100.02,3.44,1.489255124,34.82,-1.346657303,-0.506760496,-6.675673635,-2.187037266,0.30005177,-1.379024326,7.309931648,0.978611601,-0.660329814,-1.124629587,0.131939679,-0.19972744,-0.118421906,5.763435891,-0.220999318,-0.229424855,3.120840991,-2.839811991,1.436254428,-1.933644267,0.381076196
Sediment,Oxidised,S 3,17.5,82,3.98,303,15.01,NA,335.7,NA,NA,NA,NA,6.92,7.287288336,15.4,0.03,3.13,2.190531439,39.02,28.11579975,7.39,4.962147674,57087.53,46026.16908,62.86,50.6074654,9.38,7.344191137,25.57466916,28.26,26.69858814,22.42,10765.89107,18.25,19.55,424.34,1.33,126.34,3.63,1.307949699,22.14,-1.230303351,-0.482067348,-6.722992755,-2.075401853,0.447639477,-1.216307123,7.520530549,0.924475173,-0.977855095,-1.222525179,0.025167518,0.125012519,-0.10648144,6.067703323,-0.312269778,-0.243459571,2.834100163,-2.931255916,1.622541828,-1.92720221,-0.119048931
Sediment,Oxidised,S 3,22.5,82,4.1,295,NA,0.81,406.19,NA,NA,NA,NA,7.5,6.860101598,15.63,0.01,3.31,2.493713095,42.76,31.12219028,8.64,5.794375127,68633.84,56911.05643,77.7,59.47994593,9.42,7.872652524,25.3087692,24.56,24.36985898,23.4,13026.44382,18.22,22.84,445.21,1.39,158.2,4.14,1.100383744,19.94,-1.302036694,-0.478566802,-7.832929132,-2.030810757,0.52784414,-1.071356363,7.721485968,1.125096311,-0.984923858,-1.164363898,0.003391998,-0.026639843,-0.075022924,6.246977764,-0.325239054,-0.099245561,2.870787135,-2.898455199,1.836101109,-1.807063158,-0.235031182
Sediment,Oxidised,S 3,27.5,82,5.46,173,NA,0.38,535.61,NA,NA,NA,NA,7.23,5.628053334,15.09,0.02,8.02,5.215170167,41.85,28.207872,21.35,15.07825448,61207.24,47051.00162,134.84,101.2489132,9.49,8.539386754,29.78712571,20.42,19.32161689,24.98,17176.85295,41.23,24.75,476.53,2.1,133.7,4.78,1.95055332,55.69,-1.75610033,-0.769831673,-7.395886951,-1.401925524,0.250227851,-0.422812206,7.275123488,1.420224945,-1.233625333,-1.339174749,-0.089787668,-0.467349133,-0.265788441,6.267454052,0.235302201,-0.275038456,2.682666735,-2.741926601,1.411734539,-1.919423399,0.535936652
Sediment,Reduced,S 4,2.5,204,7.34,-59,61.8,257.81,1007.74,1.35,2.23,0.88,13026.53,3.95,3.256745925,9.58,0.22,19.84,13.62717624,11.72,7.82599711,6.9,5.181842519,32609.25,25386.53673,153.77,113.7050332,11.72,10.86791545,465.1138887,5.95,6.11126718,5.84,32318.35079,204.6,5.67,141.66,6.41,27.38,17.33,12.79973678,862.62,-2.447599898,-1.368650821,-5.142456145,-0.640628311,-1.167031628,-1.696807001,6.51364585,1.407129567,-1.167031628,-1.242513501,2.513953885,-1.844937193,-1.863597616,6.755062071,1.692728441,-1.893139295,1.325101408,-1.770469142,-0.318515593,-0.775889309,3.131645857
Sediment,Reduced,S 4,7.5,204,7.14,-30,69.1,218.01,1268.13,1.47,2.34,0.88,14148.98,6.47,4.13974206,12.2,0.26,23.54,15.61707415,14.5,8.920829096,8.26,5.67645299,48352.06,34808.06957,309.62,219.3199391,21.11,12.56555143,541.6012241,8.85,7.118512082,7.4,40668.82909,188.81,7.96,158.6,9.4,32.71,13.73,9.347736452,1075.59,-2.440924845,-1.360122375,-5.208631975,-0.702857225,-1.187409677,-1.750133739,6.596046196,1.873787413,-0.811811465,-1.33059927,2.432971655,-1.681140868,-1.860078326,6.751658881,1.379182892,-1.787129327,1.204826983,-1.620848637,-0.373877485,-1.241975107,3.119066301
Sediment,Reduced,S 4,12.5,204,7.35,-51,55,101.44,1752.62,1.67,2.65,0.98,12271.43,7.22,8.975654622,27.26,0.29,27.9,18.0252078,20,11.97658267,13.45,8.859559921,69012.03,51309.18744,397.98,277.5331529,15.2,14.3067087,842.8495248,9.88,11.05130451,9.11,56206.6693,228.61,8.44,218.71,12.03,45.58,23.25,16.5190497,1302.91,-1.955541029,-0.844636472,-5.387931255,-0.82143021,-1.154324625,-1.551077793,6.695568209,1.836344854,-1.428761471,-1.489328332,2.586731544,-1.859544387,-1.940684187,6.786733801,1.281960596,-2.01707459,1.237689753,-1.662653369,-0.330587875,-1.003751767,3.022298605
Sediment,Reduced,S 4,17.5,204,7.39,11,NA,71.16,1375.29,1.67,3.05,1.38,7893.88,7.25,8.339924989,49.21,0.42,39.7,26.08360918,27.13,16.20511639,18.13,12.78387503,57153.45,40631.73221,213.1,146.8578874,15.38,18.12087517,1570.13287,13.67,15.19835118,12.63,44105.70354,320.2,12.7,251.97,18.25,61.67,33.06,21.35349591,1819.31,-2.246007885,-0.470965252,-5.234562675,-0.685710919,-1.06642198,-1.469494082,6.245242515,0.994699432,-1.633994143,-1.469997509,2.991853418,-1.751858456,-1.830987171,6.327282278,1.401883694,-1.825460113,1.162247926,-1.462897027,-0.245264518,-0.868738014,3.13915048
Sediment,Reduced,S 4,22.5,204,7.12,145,NA,12.26,1281.62,NA,NA,NA,NA,7.72,8.102471666,53.81,0.43,30.29,19.65850733,28.71,17.94531802,19.48,13.04111286,55809.64,40700.5011,240.15,167.4864573,17.27,15.58889269,1101.735818,16.83,16.5522892,14.5,41101.44599,331.31,15.26,277.06,18.05,74.51,27.43,16.34139893,1643.22,-2.282131041,-0.388840877,-5.218270271,-0.963482575,-1.017054706,-1.404911902,6.239695483,1.106963528,-1.525329308,-1.627741547,2.630342031,-1.551137192,-1.700151551,6.249498382,1.428754292,-1.649065175,1.249933889,-1.481154516,-0.063366856,-1.062662896,3.03011281
Sediment,Reduced,S 4,27.5,204,NA,187,35,1.55,2208.53,NA,NA,NA,NA,15.7,17.2813513,22.95,0.53,24.51,17.25953363,21.49,12.43247925,15.75,9.452117516,107721.56,87108.69132,234.99,159.2951451,24.11,14.38667146,955.5781983,22.83,21.40479774,10.58,70827.44612,367,11.26,212.38,19.94,107.83,31.37,19.55121134,1483.06,-1.563625093,-1.279935117,-5.048131326,-1.214171856,-1.345665343,-1.656412688,6.96165889,1.046289907,-1.230626361,-1.746950868,2.449063547,-1.285177593,-2.054287627,6.754748808,1.492108795,-1.991996431,0.94512407,-1.420525289,0.26730286,-0.967401031,2.888609746
Sediment,Reduced,S 5,2.5,287,7.47,-101,38.5,54.63,NA,1.93,3.21,1.28,NA,3.34,NA,10.37,0.28,12.95,NA,14.9,NA,8.96,NA,17842.42,NA,75.66,NA,11.34,NA,NA,6.11,NA,6.86,NA,663.16,5.18,297.7,3.11,29.98,17.55,NA,440.08,NA,-0.557112354,-4.168995052,-0.334933588,-0.194668163,-0.703259149,NA,1.430220243,-0.467693078,NA,NA,-1.086102603,-0.970321934,NA,3.600986912,-1.25122432,2.800056892,-1.76140665,0.504501117,-0.030975426,3.190927153
Sediment,Reduced,S 5,7.5,287,7.31,-60,55.9,143.27,NA,1.52,2.91,1.39,NA,3.52,NA,10.9,0.35,15.49,NA,20.46,NA,8.56,NA,25336.34,NA,102.94,NA,12.62,NA,NA,7.15,NA,8.59,NA,167.54,6.73,217.08,3.58,40.25,22.99,NA,550.49,NA,-0.57100294,-4.009587854,-0.219571075,0.058706031,-0.812665539,NA,1.674380565,-0.424482872,NA,NA,-0.992653373,-0.809166993,NA,2.161456399,-1.053190586,2.42050022,-1.684402929,0.735344275,0.175293609,3.351043061
Sediment,Reduced,S 5,12.5,287,7.3,-92,NA,102.8,792.5,1.57,2.86,1.29,12761.22,3.58,6.423100907,12.3,0.29,21.49,14.13444528,14.26,10.11746753,7.46,6.590972228,29733.4,22928.16788,151.22,116.7860239,16.63,14.12616793,537.3592258,7.26,7.730217464,7.7,25415.43216,172.96,6.79,184.97,5.68,36.38,23.03,17.38134377,839.54,-1.917576511,-1.267878257,-5.015351875,-0.709889809,-1.120019104,-1.767922105,6.262643953,1.241258211,-0.966269226,-1.129448561,2.509189301,-1.795097691,-1.736257191,6.365634314,1.375582834,-1.862026578,1.44271613,-2.040526287,-0.183458346,-0.640679806,2.955376603
